序号,词,频数
1,the,14563
2,and,8290
3,of,8092
4,in,6436
5,to,5568
6,shandong,4877
7,a,4363
8,s,2294
9,province,2232
10,on,2106
11,for,2059
12,is,1758
13,china,1689
14,as,1515
15,with,1467
16,at,1434
17,photo,1419
18,by,1380
19,has,1312
20,from,1275
21,said,1197
22,an,1083
23,will,1051
24,cultural,1006
25,that,938
26,year,871
27,tourism,871
28,are,774
29,com,766
30,it,761
31,more,749
32,development,736
33,have,712
34,city,701
35,its,698
36,culture,669
37,also,664
38,was,663
39,new,604
40,chinese,576
41,people,571
42,provincial,555
43,which,553
44,cn,523
45,be,520
46,percent,520
47,jinan,513
48,than,509
49,yuan,505
50,been,497
51,local,469
52,qingdao,452
53,this,452
54,chinadaily,447
55,000,437
56,east,433
57,high,424
58,up,400
59,county,400
60,according,392
61,million,391
62,including,391
63,billion,389
64,1,375
65,area,374
66,were,369
67,their,366
68,national,366
69,first,365
70,traditional,358
71,during,355
72,provided,355
73,international,354
74,trade,350
75,cooperation,348
76,government,346
77,one,341
78,total,337
79,well,333
80,industry,331
81,river,329
82,years,329
83,world,326
84,village,325
85,held,325
86,such,324
87,event,322
88,he,319
89,exhibition,317
90,yantai,312
91,museum,307
92,economic,306
93,over,299
94,group,291
95,department,288
96,yellow,286
97,industrial,283
98,two,282
99,conference,282
100,quality,276
